question,answer
What is the basic unit of life?,Cell
Which organ filters blood?,Kidney
What gas do humans exhale?,Carbon dioxide
Which process drives evolution?,Natural selection
What is the human body’s largest organ?,Skin
What molecule stores energy?,ATP
Which organ produces insulin?,Pancreas
What is the primary photosynthetic pigment?,Chlorophyll
Which structure protects plant cells?,Cell wall
What gas is essential for respiration?,Oxygen
Which organ controls balance?,Cerebellum
What is the genetic material in viruses?,RNA
Which process copies DNA?,Replication
What is the human body’s strongest bone?,Femur
Which organ stores bile?,Gallbladder
What is the main component of blood?,Plasma
Which process recycles nutrients?,Decomposition
What gas regulates Earth’s temperature?,Carbon dioxide
Which organ aids digestion?,Stomach
What is the primary source of plant energy?,Sunlight
Which structure carries nerve impulses?,Neuron
What molecule codes for proteins?,mRNA
Which organ detoxifies blood?,Liver
What is the main component of cell membranes?,Phospholipids
Which process produces gametes?,Meiosis
What is the human body’s temperature regulator?,Hypothalamus
Which gas is used in photosynthesis?,Carbon dioxide
What is the primary source of animal energy?,Glucose
Which organ produces red blood cells?,Bone marrow
What molecule transports oxygen?,Hemoglobin
Which process breaks down glucose?,Glycolysis
What is the main component of plant cell walls?,Cellulose
Which organ regulates breathing?,Diaphragm
What is the genetic mutation process?,Mutagenesis
Which structure supports plants?,Stem
What gas is produced by photosynthesis?,Oxygen
Which organ controls hormones?,Pituitary gland
What is the primary source of cell energy?,Mitochondria
Which process repairs DNA?,DNA repair
What is the human body’s largest muscle?,Gluteus maximus
Which organ filters air?,Lungs
What molecule regulates cell growth?,Protein
Which process recycles carbon?,Carbon cycle
What is the main component of bones?,Calcium
Which organ detects light?,Eye
What gas is toxic in high amounts?,Carbon monoxide
Which structure stores plant starch?,Chloroplast
What is the primary source of muscle energy?,ATP
Which organ regulates blood sugar?,Pancreas
What molecule forms enzymes?,Protein
Which process produces energy without oxygen?,Fermentation
What is the human body’s smallest bone?,Stapes
Which organ controls smell?,Olfactory bulb
What gas is used in nitrogen fixation?,Nitrogen
Which structure protects animal cells?,Membrane
What is the primary source of brain energy?,Glucose
Which organ fights infection?,Spleen
What molecule forms antibodies?,Protein
Which process drives cell division?,Mitosis
What is the main component of hair?,Keratin
Which organ regulates water balance?,Kidney
